ip,country,region,city,org,asn,hostname,loc,lat,lon,status,fail_count,occ_count,first_seen,last_seen,mean_interarrival,unique_ports,unique_usernames,classification
43.156.119.102,,,,,,,,,,200,55,95,2025-10-18T12:10:52+07:00,2025-10-18T13:13:39+07:00,40.07446808510638,20,17,suspicious
80.94.93.119,,,,,,,,,,200,0,1,2025-10-18T12:14:11+07:00,2025-10-18T12:14:11+07:00,,1,0,other
175.126.166.172,,,,,,,,,,200,75,131,2025-10-18T12:14:58+07:00,2025-10-18T13:08:49+07:00,24.853846153846153,29,22,bruteforce
115.242.61.98,,,,,,,,,,200,78,135,2025-10-18T12:16:01+07:00,2025-10-18T12:40:30+07:00,10.962686567164178,29,23,bruteforce
193.46.255.159,,,,,,hostingmailto066.statics.servermail.org,,,,200,0,5,2025-10-18T12:16:59+07:00,2025-10-18T14:44:24+07:00,2211.25,5,0,other
193.46.255.244,,,,,,hostingmailto161.statics.servermail.org,,,,200,0,5,2025-10-18T12:31:06+07:00,2025-10-18T16:26:27+07:00,3530.25,5,0,other
101.126.89.164,,,,,,,,,,200,0,1,2025-10-18T12:38:25+07:00,2025-10-18T12:38:25+07:00,,1,0,other
8.137.104.94,,,,,,,,,,200,0,1,2025-10-18T12:41:42+07:00,2025-10-18T12:41:42+07:00,,1,0,other
103.63.25.115,,,,,,ip103-63-25-115.cloudhost.web.id,,,,200,92,156,2025-10-18T12:44:16+07:00,2025-10-18T13:44:29+07:00,23.309677419354838,32,26,bruteforce
45.82.78.100,,,,,,,,,,200,0,1,2025-10-18T12:44:37+07:00,2025-10-18T12:44:37+07:00,,1,0,other
220.250.41.11,,,,,,,,,,200,32,69,2025-10-18T12:47:30+07:00,2025-10-18T15:01:54+07:00,118.58823529411765,26,11,other
115.190.76.77,,,,,,,,,,200,0,1,2025-10-18T12:51:00+07:00,2025-10-18T12:51:00+07:00,,1,0,other
118.193.43.167,,,,,,,,,,200,85,149,2025-10-18T12:53:40+07:00,2025-10-18T13:47:44+07:00,21.91891891891892,32,22,bruteforce
14.103.138.116,,,,,,,,,,200,0,1,2025-10-18T12:54:33+07:00,2025-10-18T12:54:33+07:00,,1,0,other
196.251.88.103,,,,,,,,,,200,0,1,2025-10-18T13:02:52+07:00,2025-10-18T13:02:52+07:00,,1,0,other
193.46.255.99,,,,,,hostingmailto251.statics.servermail.org,,,,200,0,3,2025-10-18T13:05:49+07:00,2025-10-18T15:29:41+07:00,4316.0,3,0,other
172.236.228.38,,,,,,172-236-228-38.ip.linodeusercontent.com,,,,200,0,3,2025-10-18T13:07:29+07:00,2025-10-18T13:07:31+07:00,1.0,3,0,other
98.91.26.229,,,,,,ec2-98-91-26-229.compute-1.amazonaws.com,,,,200,0,1,2025-10-18T13:11:57+07:00,2025-10-18T13:11:57+07:00,,1,0,other
193.46.255.20,,,,,,hostingmailto112.statics.servermail.org,,,,200,0,3,2025-10-18T13:14:56+07:00,2025-10-18T16:33:52+07:00,5968.0,3,0,other
185.247.137.216,,,,,,revolutionary.monitoring.internet-measurement.com,,,,200,0,2,2025-10-18T13:43:20+07:00,2025-10-18T13:43:21+07:00,1.0,2,0,other
37.27.209.186,,,,,,static.186.209.27.37.clients.your-server.de,,,,200,82,146,2025-10-18T13:48:34+07:00,2025-10-18T14:37:56+07:00,20.427586206896553,32,18,bruteforce
91.205.128.170,,,,,,,,,,200,82,146,2025-10-18T13:48:51+07:00,2025-10-18T14:29:40+07:00,16.889655172413793,32,18,bruteforce
104.208.108.166,,,,,,,,,,200,82,146,2025-10-18T13:49:00+07:00,2025-10-18T14:39:44+07:00,20.99310344827586,32,18,bruteforce
14.195.83.210,,,,,,mail.tataidc.com,,,,200,85,149,2025-10-18T13:49:38+07:00,2025-10-18T14:44:51+07:00,22.385135135135137,32,23,bruteforce
95.90.13.168,,,,,,ip5f5a0da8.dynamic.kabel-deutschland.de,,,,200,82,146,2025-10-18T13:51:28+07:00,2025-10-18T14:32:27+07:00,16.958620689655174,32,18,bruteforce
36.50.54.25,,,,,,,,,,200,85,149,2025-10-18T13:53:54+07:00,2025-10-18T14:46:33+07:00,21.344594594594593,32,23,bruteforce
198.235.24.165,,,,,,,,,,200,0,1,2025-10-18T14:07:44+07:00,2025-10-18T14:07:44+07:00,,1,0,other
193.46.255.217,,,,,,hostingmailto131.statics.servermail.org,,,,200,0,2,2025-10-18T14:29:07+07:00,2025-10-18T15:30:27+07:00,3680.0,2,0,other
103.152.14.43,,,,,,,,,,200,87,151,2025-10-18T14:30:44+07:00,2025-10-18T15:20:07+07:00,19.753333333333334,32,24,bruteforce
5.129.203.54,,,,,,,,,,200,0,1,2025-10-18T15:01:30+07:00,2025-10-18T15:01:30+07:00,,1,0,other
194.187.176.44,,,,,,,,,,200,0,1,2025-10-18T15:09:45+07:00,2025-10-18T15:09:45+07:00,,1,0,other
91.237.163.114,,,,,,,,,,200,85,148,2025-10-18T15:20:47+07:00,2025-10-18T15:59:39+07:00,15.863945578231293,32,24,bruteforce
43.225.158.169,,,,,,,,,,200,86,149,2025-10-18T15:22:15+07:00,2025-10-18T16:16:57+07:00,22.175675675675677,32,25,bruteforce
103.29.69.96,,,,,,li1542-96.members.linode.com,,,,200,0,1,2025-10-18T15:24:08+07:00,2025-10-18T15:24:08+07:00,,1,0,other
14.103.79.11,,,,,,,,,,200,3,6,2025-10-18T15:24:59+07:00,2025-10-18T15:29:05+07:00,49.2,2,1,other
180.184.36.192,,,,,,,,,,200,0,1,2025-10-18T15:27:42+07:00,2025-10-18T15:27:42+07:00,,1,0,other
95.240.192.149,,,,,,host-95-240-192-149.business.telecomitalia.it,,,,200,80,138,2025-10-18T15:42:33+07:00,2025-10-18T16:35:05+07:00,23.00729927007299,29,22,bruteforce
197.243.14.52,,,,,,,,,,200,81,145,2025-10-18T15:44:01+07:00,2025-10-18T16:41:11+07:00,23.819444444444443,32,18,bruteforce
20.88.55.220,,,,,,,,,,200,81,145,2025-10-18T15:44:13+07:00,2025-10-18T16:31:20+07:00,19.631944444444443,32,18,bruteforce
103.67.78.49,,,,,,ip103-67-78-49.cloudhost.web.id,,,,200,80,142,2025-10-18T15:44:27+07:00,2025-10-18T16:34:49+07:00,21.43262411347518,32,23,bruteforce
121.132.81.3,,,,,,,,,,200,272,317,2025-10-18T16:02:54+07:00,2025-10-18T16:12:56+07:00,1.9050632911392404,33,12,bruteforce
207.166.174.63,,,,,,,,,,200,53,89,2025-10-18T16:37:10+07:00,2025-10-18T17:10:06+07:00,22.454545454545453,18,17,suspicious
14.103.158.69,,,,,,,,,,200,29,52,2025-10-18T16:37:29+07:00,2025-10-18T17:09:06+07:00,37.19607843137255,13,10,suspicious
1.54.152.53,,,,,,,,,,200,0,1,2025-10-18T16:47:04+07:00,2025-10-18T16:47:04+07:00,,1,1,other
